food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Chocolate ice cream,Dessert,Lunch/Dinner,,,ice-cream cup,2756.75,659.28,57.17,16.58,41.72,56.87,0,24656.4,12027.7,1806.74,253.25,312.53,361.79,50.57,136.48,437.98,1.76,0.29,22.55,0.01,0.18,0,1.81,466.5,2.01,0,0.42,0.57,7.3,43.75,0.12,0.5,0.4,1.66,0.18,16.14,43.75,4.06
Mango ice cream,Dessert,Lunch/Dinner,,,ice-cream cup,2395.5,573.13,50.78,15.52,34.74,50.2,2.35,20262.85,9763.1,1701.04,251.75,306.29,326.15,43.76,132.84,525.73,1.8,0.23,23.8,0.03,0.3,0,1.58,462.75,1.97,4.64,0.42,5.96,7.3,142.26,0.14,0.52,0.61,1.69,0.32,17.09,142.26,44.98
Fruit Ice cream (Phalon ka Ice cream),Dessert,Lunch/Dinner,,,ice-cream cup,2305.97,550.82,51.56,14.05,33.35,45.07,1.07,17285.7,6898.1,847.7,55,299.88,225.76,21.63,124.59,385.44,1.17,0.08,2.16,0.01,0.02,0,0.85,291,0.8,0,0,0,0,15.6,0.08,0.36,0.22,0.81,0.09,5.77,15.6,4.02
Caramel ice cream,Dessert,Lunch/Dinner,,,ice-cream cup,1969.33,471.03,40.19,11.71,30.27,39.42,0.23,17422.7,8946.87,1488.09,148.73,237.03,247.93,32.51,90.84,285.47,0.95,0.17,11.97,0.01,0.1,0.03,1.18,339.6,1.41,0.13,0.21,0.68,3.65,25.96,0.1,0.34,0.27,1.07,0.12,9.25,25.96,3.27
Lemon souffle,Dessert,Lunch/Dinner,,,souffle cup,1672.45,399.36,31.83,16.47,23.75,27.67,0,13664.05,6810.55,1241.02,238,141.75,178.12,17.54,120.22,209.6,1.34,0.06,21.99,0,0.02,0,0.99,390,1.23,0,0.42,0,7.3,32.11,0.07,0.29,0.19,1.08,0.13,11.92,32.11,12.9
Orange souffle,Dessert,Lunch/Dinner,,,souffle cup,1719.45,410.61,34.65,16.59,23.73,30.03,0.55,13644.77,6818.69,1226.24,238,144.05,180.07,20.08,120.1,247.06,1.58,0.07,21.73,0.01,0.03,0,0.98,390,1.24,0.14,0.42,1.06,7.3,37.93,0.09,0.29,0.27,1.12,0.13,13.14,37.93,19.16
Vanilla souffle,Dessert,Lunch/Dinner,,,souffle cup,1710.9,408.58,32.15,16.78,24.35,27.97,0,14035.15,6992.7,1226.74,238,153.56,189.13,16.74,123.39,196.1,1.26,0.06,21.79,0,0.02,0,1.01,390,1.26,0,0.42,0,7.3,30.71,0.06,0.3,0.17,1.09,0.12,12.22,30.71,1.3
Chocolate souffle,Dessert,Lunch/Dinner,,,souffle cup,1743.93,416.5,32.43,17.33,25,27.91,0,14419.1,7208.65,1244.72,238,157.4,208.9,32.28,123.34,240.35,1.57,0.18,21.79,0,0.02,0,1.22,390,1.28,0,0.42,0.05,7.3,31.85,0.07,0.3,0.22,1.09,0.12,12.22,31.85,1.3
Pineapple souffle,Dessert,Lunch/Dinner,,,souffle cup,1659.15,396.21,31.34,16.29,23.68,27.18,0,13629.05,6810.55,1206.02,238,135.8,174.62,15.44,119.53,178.1,1.23,0.06,21.64,0,0.02,0,0.96,390,1.23,0,0.42,0,7.3,29.66,0.06,0.29,0.16,1.04,0.11,11.92,29.66,1
Apple mousse,Dessert,Lunch/Dinner,,,bowl,1634.53,390.28,46.59,15.36,15.6,38.54,5.83,7918,4390.54,1543,210.5,123.22,159.79,30.68,105.07,399.02,1.74,0.15,22.88,0.02,0.13,0.84,1.01,244.5,1.33,3.29,0.42,8.21,7.3,35.22,0.12,0.21,0.69,1.11,0.19,11.28,35.22,14.48
